bq_state_code,bq_geo_id,bq_ansi_code,bq_jurisdiction_name
AL,100100,2582661,Abanda place
AL,100124,2403054,Abbeville city
AL,100460,2403063,Adamsville city
AL,100484,2405123,Addison town
AL,100676,2405125,Akron town
AL,100820,2403069,Alabaster city
AL,100988,2403074,Albertville city
AL,101132,2403077,Alexander City city
AL,101180,2402638,Alexandria place
AL,101228,2403080,Aliceville city
AL,101396,2405136,Allgood town
AL,101660,2405146,Altoona town
AL,101708,2403097,Andalusia city
AL,101756,2405149,Anderson town
AL,101852,2403101,Anniston city
AL,102116,2403104,Arab city
AL,102260,2405163,Ardmore town
AL,102320,2405164,Argo town
AL,102428,2405166,Ariton town
AL,102500,2405167,Arley town
AL,102836,2405172,Ashford town
AL,102860,2405173,Ashland town
AL,102908,2403122,Ashville city
AL,102956,2403123,Athens city
AL,103004,2403129,Atmore city
AL,103028,2403130,Attalla city
AL,103076,2403132,Auburn city
AL,103220,2405187,Autaugaville town
AL,103364,2405191,Avon town
AL,103508,2628577,Axis place
AL,103556,2405195,Babbie town
AL,103676,2405198,Baileyton town
AL,103724,2405200,Bakerhill town
AL,103820,2582662,Ballplay place
AL,103940,2405206,Banks town
AL,104660,2403825,Bay Minette city
AL,104684,2403828,Bayou La Batre city
AL,104852,2405219,Bear Creek town
AL,104900,2405221,Beatrice town
AL,104948,2405225,Beaverton town
AL,105140,2628578,Belgreen place
AL,105164,2405230,Belk town
AL,105188,2628579,Bellamy place
AL,105212,2632282,Belle Fontaine place
AL,105692,2405243,Benton town
AL,105812,2797102,Berlin town
AL,105932,2405250,Berry town
AL,105980,2403864,Bessemer city
AL,106460,2405265,Billingsley town
AL,107000,2403868,Birmingham city
AL,107120,2405270,Black town
AL,107456,2405280,Blountsville town
AL,107588,2402696,Blue Ridge place
AL,107672,2405286,Blue Springs town
AL,107912,2403886,Boaz city
AL,108104,2405297,Boligee town
AL,108248,2405301,Bon Air town
AL,108272,2633314,Bon Secour place
AL,108680,2628580,Boykin place
AL,109016,2405315,Brantley town
AL,109064,2582663,Brantleyville place
AL,109136,2403918,Brent city
AL,109208,2403921,Brewton city
AL,109328,2403924,Bridgeport city
AL,109400,2403925,Brighton city
AL,109424,2405321,Brilliant town
AL,109457,2582664,Bristow Cove place
AL,109500,2403203,Brook Highland place
AL,109736,2405331,Brookside town
AL,109808,2405333,Brookwood town
AL,109880,2582666,Broomtown place
AL,110240,2403943,Brundidge city
AL,110456,2628581,Bucks place
AL,111032,2405351,Butler town
AL,111416,2403965,Calera city
AL,111488,2628582,Calvert place
AL,111512,2403975,Camden city
AL,111680,2405370,Camp Hill town
AL,112016,2403992,Carbon Hill city
AL,112040,2405377,Cardiff town
AL,112070,2582667,Carlisle-Rockledge place
AL,112112,2628583,Carlton place
AL,112160,2405380,Carolina town
AL,112304,2405384,Carrollton town
AL,112496,2406236,Castleberry town
AL,112544,2628584,Catherine place
AL,112760,2406240,Cedar Bluff town
AL,113264,2404020,Center Point city
AL,113648,2404025,Centre city
AL,113672,2404026,Centreville city
AL,114008,2406259,Chatom town
AL,114104,2404037,Chelsea city
AL,114152,2406262,Cherokee town
AL,114392,2404045,Chickasaw city
AL,114464,2404048,Childersburg city
AL,114728,2582668,Choccolocco place
AL,114968,2628585,Chunchula place
AL,115064,2404051,Citronelle city
AL,115136,2404052,Clanton city
AL,115256,2404063,Clay city
AL,115304,2406273,Clayhatchee town
AL,115376,2406274,Clayton town
AL,115472,2406278,Cleveland town
AL,115640,2404082,Clio city
AL,116000,2406286,Coaling town
AL,116080,2582669,Coats Bend place
AL,116240,2406288,Coffee Springs town
AL,116264,2406289,Coffeeville town
AL,116312,2406291,Coker town
AL,116600,2406296,Collinsville town
AL,116684,2406297,Colony town
AL,116744,2406298,Columbia town
AL,116768,2404109,Columbiana city
AL,116936,2402792,Concord place
AL,117176,2406310,Coosada town
AL,117368,2404130,Cordova city
AL,117704,2727439,Cottondale place
AL,117824,2406321,Cottonwood town
AL,117968,2406322,County Line town
AL,118040,2406323,Courtland town
AL,118088,2406329,Cowarts town
AL,118304,2404149,Creola city
AL,118856,2406341,Crossville town
AL,118952,2406344,Cuba town
AL,118976,2404166,Cullman city
AL,119024,2628586,Cullomburg place
